Facility Type,Borough,Latitude,Longitude
Child Health Center,Brooklyn,40.578468,-73.989614
Child Health Center,Queens,40.688615,-73.785593
Child Health Center,Bronx,40.821084,-73.918073
Child Health Center,Bronx,40.832279,-73.909534
Diagnostic & Treatment Center,Bronx,40.810121,73.916871
Child Health Center,Queens,40.703826,-73.800483
Child Health Center,Queens,40.717251,-73.803433
Acute Care Hospital,Queens,40.738711,-73.878351
Child Health Center,Brooklyn,40.695143,73.976235
Child Health Center,Queens,40.754179,-73.872231
Child Health Center,Brooklyn,40.700528,-73.941604
Child Health Center,Brooklyn,40.694049,-73.934552
Acute Care Hospital,Bronx,40.857427,-73.847079
Acute Care Hospital,Manhattan,40.784557,-73.943781
Child Health Center,Brooklyn,40.694674,-73.919153
Child Health Center,Brooklyn,40.690361,-73.960108
Diagnostic & Treatment Center,Brooklyn,40.671977,-73.895248
Child Health Center,Brooklyn,40.712046,-73.943989
Acute Care Hospital,Bronx,40.880462,-73.881641
Child Health Center,Manhattan,40.814358,-73.940659
Child Health Center,Manhattan,40.809338,73.949197
Nursing Home,Brooklyn,40.659968,-73.939733
Child Health Center,Bronx,40.817688,-73.924211
Child Health Center,Queens,40.744001,-73.858404
Nursing Home,Staten Island,40.593798,-74.135437
Child Health Center,Queens,40.678997,-73.754077
Child Health Center,Bronx,,
Diagnostic & Treatment Center,Bronx,40.835957,-73.919986
Child Health Center,Manhattan,40.809338,-73.949197
Child Health Center,Manhattan,40.841127,-73.939961
Child Health Center,Bronx,40.857427,-73.847079
Diagnostic & Treatment Center,Brooklyn,,
Diagnostic & Treatment Center,Manhattan,,
Acute Care Hospital,Brooklyn,40.655762,-73.94458
Nursing Home,Manhattan,40.769811,-73.941218
Child Health Center,Brooklyn,40.655762,-73.944581
Acute Care Hospital,Manhattan,40.739173,-73.976862
Child Health Center,Manhattan,40.729301,-73.979911
Child Health Center,Brooklyn,40.715381,-73.956135
Child Health Center,Manhattan,40.814794,-73.958928
Child Health Center,Manhattan,40.861641,-73.92459
Child Health Center,Brooklyn,40.671977,-73.895248
Child Health Center,Brooklyn,40.664827,-73.911415
Acute Care Hospital,Brooklyn,40.586552,-73.966168
Child Health Center,Brooklyn,40.712046,-73.943989
Child Health Center,Staten Island,40.626584,-74.076758
Child Health Center,Queens,,
Child Health Center,Staten Island,40.626017,-74.156541
Child Health Center,Manhattan,40.721721,-73.995732
Child Health Center,Manhattan,40.784557,-73.943781
Child Health Center,Bronx,40.874636,-73.857841
Child Health Center,Brooklyn,40.729708,-73.954055
Acute Care Hospital,Queens,40.717209,-73.803419
Diagnostic & Treatment Center,Manhattan,40.712784,-73.988417
Child Health Center,Manhattan,40.712784,-73.988417
Nursing Home,Manhattan,40.712784,-73.988417
Child Health Center,Brooklyn,40.691986,-73.982496
Nursing Home,Manhattan,40.756368,-73.956054
Child Health Center,Manhattan,40.798205,-73.932667
Child Health Center,Brooklyn,40.671892,-73.878197
Child Health Center,Manhattan,40.821706,-73.942731
Child Health Center,Queens,40.753164,-73.910752
Acute Care Hospital,Bronx,,
Acute Care Hospital,Manhattan,40.814358,-73.940659
Child Health Center,Brooklyn,40.586552,-73.966168
Child Health Center,Bronx,40.844083,-73.894482
Child Health Center,Bronx,40.880462,-73.881641
Child Health Center,Brooklyn,40.673531,-73.935845
Child Health Center,Manhattan,40.716079,-73.980373
Child Health Center,Manhattan,40.811271,73.949655
Child Health Center,Brooklyn,40.697945,-73.941018
Acute Care Hospital,Brooklyn,40.700528,-73.941604
Child Health Center,Brooklyn,40.684318,-73.909056
Child Health Center,Manhattan,40.739173,-73.976862
Child Health Center,Queens,40.702972,-73.905489
Child Health Center,Manhattan,40.712019,-73.997309
Child Health Center,Bronx,40.835957,-73.919986
